id,header,years_from,years_to,release_year,aggregate_rating,num_figures,manufacturer,period_duration,mid_year,era,decade,years_since_release,nationality
95,Esci British and French Artillery (219),1810,1815,1985.0,37.0,16.0,Esci,5,1812,Новое время,1980.0,41.0,French
96,Esci Lord Cardigan's 11th Hussars (220),1840,1857,1985.0,33.0,12.0,Esci,17,1848,Новое время,1980.0,41.0,British
97,Esci Russian Infantry and Artillery (221),1850,1860,1985.0,34.0,30.0,Esci,10,1855,Новое время,1980.0,41.0,Russian
98,Esci Union Infantry (222),1861,1865,1985.0,44.0,50.0,Esci,4,1863,Новое время,1980.0,41.0,USA
99,Esci Roman Legion (224),20,200,1986.0,44.0,40.0,Esci,180,110,Древний мир,1980.0,40.0,Italian
100,Esci Barbarian Warriors (225),-200,300,1986.0,43.0,46.0,Esci,500,50,Древний мир,1980.0,40.0,German
101,Esci Prussian and Austrian Infantry (226),1798,1808,1986.0,36.0,50.0,Esci,10,1803,Новое время,1980.0,40.0,Austrian
101,Esci Prussian and Austrian Infantry (226),1798,1808,1986.0,36.0,50.0,Esci,10,1803,Новое время,1980.0,40.0,German
102,Esci French Line Infantry (227),1806,1813,1986.0,36.0,50.0,Esci,7,1809,Новое время,1980.0,40.0,French
103,Esci U.S. Elite Forces (228),1962,1973,1986.0,47.0,50.0,Esci,11,1967,Современность,1980.0,40.0,USA
104,Esci North Vietnamese Soldiers and Vietcong (229),1947,1975,1986.0,47.0,50.0,Esci,28,1961,Современность,1980.0,40.0,Vietnamese
105,Esci British Light Dragoons (230),1813,1815,1986.0,41.0,12.0,Esci,2,1814,Новое время,1980.0,40.0,British
106,Esci British Artillery (233),1798,1815,1986.0,36.0,16.0,Esci,17,1806,Новое время,1980.0,40.0,British
107,Esci French Artillery (234),1810,1815,1986.0,37.0,16.0,Esci,5,1812,Новое время,1980.0,40.0,French
108,Esci French Cuirassiers (235),1812,1815,1987.0,42.0,12.0,Esci,3,1813,Новое время,1980.0,39.0,French
109,Esci Modern Russian Paratroopers Spetsnaz (240),1975,1985,1988.0,41.0,50.0,Esci,10,1980,Современность,1980.0,38.0,Russian
110,Esci NATO Troops (241),1985,1989,1989.0,46.0,48.0,Esci,4,1987,Современность,1980.0,37.0,British
110,Esci NATO Troops (241),1985,1989,1989.0,46.0,48.0,Esci,4,1987,Современность,1980.0,37.0,French
110,Esci NATO Troops (241),1985,1989,1989.0,46.0,48.0,Esci,4,1987,Современность,1980.0,37.0,German
110,Esci NATO Troops (241),1985,1989,1989.0,46.0,48.0,Esci,4,1987,Современность,1980.0,37.0,Italian
111,Esci German Paratroopers 'Green Devils' (244),1940,1945,1989.0,38.0,50.0,Esci,5,1942,Новейшее время,1980.0,37.0,German
112,Gulliver South States Cavalry (3601),1861,1865,1994.0,43.0,15.0,Gulliver,4,1863,Новое время,1990.0,32.0,USA
113,HaT Picts (6005),250,800,2002.0,33.0,24.0,HaT,550,525,Средневековье,2000.0,24.0,British
113,HaT Picts (6005),250,800,2002.0,33.0,24.0,HaT,550,525,Средневековье,2000.0,24.0,Pictish
114,HaT Saxons (6006),150,600,2002.0,24.0,24.0,HaT,450,375,Древний мир,2000.0,24.0,German
114,HaT Saxons (6006),150,600,2002.0,24.0,24.0,HaT,450,375,Древний мир,2000.0,24.0,Saxon
115,HaT Franks (6007),150,500,2002.0,29.0,24.0,HaT,350,325,Древний мир,2000.0,24.0,Belgian
115,HaT Franks (6007),150,500,2002.0,29.0,24.0,HaT,350,325,Древний мир,2000.0,24.0,French
116,HaT Visigoths (6008),370,550,2002.0,26.0,24.0,HaT,180,460,Древний мир,2000.0,24.0,French
116,HaT Visigoths (6008),370,550,2002.0,26.0,24.0,HaT,180,460,Древний мир,2000.0,24.0,Spanish
117,HaT WW1 French Infantry (7003),1915,1918,,,,HaT,3,1916,Новейшее время,,,French
118,HaT Waterloo Prussian Landwehr (7006),1813,1815,,,,HaT,2,1814,Новое время,,,German
119,HaT Italian Infantry (7007),1937,1945,,,,HaT,8,1941,Новейшее время,,,Italian
120,HaT Waterloo French Line Infantry (7008),1812,1815,1972.0,,43.0,HaT,3,1813,Новое время,1970.0,54.0,French
121,HaT Ancient Britons (7011),-300,200,1969.0,,29.0,HaT,500,-50,Древний мир,1960.0,57.0,British
121,HaT Ancient Britons (7011),-300,200,1969.0,,29.0,HaT,500,-50,Древний мир,1960.0,57.0,Celtic
122,HaT Bedouins (7013),1860,1920,1964.0,,22.0,HaT,60,1890,Новое время,1960.0,62.0,Arab
123,HaT Robin Hood (7015),1200,1450,1964.0,,39.0,HaT,250,1325,Средневековье,1960.0,62.0,British
124,HaT Australian Infantry (7016),1940,1945,1976.0,,48.0,HaT,5,1942,Новейшее время,1970.0,50.0,Australian
125,HaT Jungle Adventure (7018),1910,1970,1968.0,,17.0,HaT,60,1940,Новейшее время,1960.0,58.0,Не указано
126,HaT 1805 Napoleonic French Mamelukes (8001),1799,1815,1996.0,38.0,12.0,HaT,16,1807,Новое время,1990.0,30.0,French
127,HaT Russian Cossacks (8006),1790,1840,1998.0,42.0,12.0,HaT,50,1815,Новое время,1990.0,28.0,Russian
128,HaT Prussian Artillery (8007),1808,1815,1997.0,35.0,24.0,HaT,7,1811,Новое время,1990.0,29.0,German
129,HaT Brunswick Avant Garde (8008),1814,1815,1997.0,38.0,48.0,HaT,1,1814,Новое время,1990.0,29.0,Brunswick
129,HaT Brunswick Avant Garde (8008),1814,1815,1997.0,38.0,48.0,HaT,1,1814,Новое время,1990.0,29.0,German
130,HaT Russian Artillery (8010),1812,1815,1997.0,32.0,24.0,HaT,3,1813,Новое время,1990.0,29.0,Russian
131,HaT French Lancers (8011),1811,1815,1998.0,33.0,12.0,HaT,4,1813,Новое время,1990.0,28.0,French
132,HaT French Horse Grenadiers (8013),1800,1814,1998.0,41.0,12.0,HaT,14,1807,Новое время,1990.0,28.0,French
133,HaT KGL Light Dragoons (8014),1812,1815,1998.0,40.0,12.0,HaT,3,1813,Новое время,1990.0,28.0,British
134,HaT Austrian Cuirassiers (8015),1798,1810,1998.0,39.0,12.0,HaT,12,1804,Новое время,1990.0,28.0,Austrian
135,HaT Russian Cuirassiers (8016),1812,1815,1998.0,42.0,12.0,HaT,3,1813,Новое время,1990.0,28.0,Russian
136,HaT Republican Romans Princeps & Triari (8017),-265,-150,1999.0,37.0,48.0,HaT,115,-208,Древний мир,1990.0,27.0,Italian
137,HaT Republican Romans Hastati & Velites (8018),-265,-150,1999.0,39.0,48.0,HaT,115,-208,Древний мир,1990.0,27.0,Italian
138,HaT Roman Cavalry (8021),-270,-140,1999.0,38.0,12.0,HaT,130,-205,Древний мир,1990.0,27.0,Italian
139,HaT Brunswick Leib Infantry (8026),1810,1815,2000.0,41.0,48.0,HaT,5,1812,Новое время,2000.0,26.0,Brunswick
139,HaT Brunswick Leib Infantry (8026),1810,1815,2000.0,41.0,48.0,HaT,5,1812,Новое время,2000.0,26.0,German
140,HaT Bavarian Infantry (8028),1808,1815,2000.0,37.0,48.0,HaT,7,1811,Новое время,2000.0,26.0,Bavarian
140,HaT Bavarian Infantry (8028),1808,1815,2000.0,37.0,48.0,HaT,7,1811,Новое время,2000.0,26.0,German
