ID,Header,Years_from,Years_to
616,Italeri Russian Infantry (6057),1941,1945
617,HaT Italian Allies (8040),-300,-102
618,Italeri French Artillery Set (6031),1810,1815
619,Atlantic Sioux - Sitting Bull (1009),1600,1880
620,Orion Red 1st Cavalry (72011),1918,1924
621,Airfix Royal Horse Artillery (01731),1914,1915
622,Revell Austrian Dragoons (02573),1756,1763
623,Atlantic Military Hospital (114),1970,1975
624,HaT French Young Guard (8034),1813,1815
625,BUM La Legion (5000),1934,1939
626,Strelets Russian Medieval Horsemen (017),1200,1350
627,Strelets Russian Mounted Jägers (018),1813,1815
628,Strelets Anglo-Saxons (016),900,1066
629,Strelets Norman Cavalry (012),1050,1100
630,HaT WW1 Royal Horse Artillery (7005),1914,1916
631,HaT Carthaginian Allies (8058),-400,-200
632,HaT French Light Infantry (8042),1812,1815
633,Atlantic Stampede (1013),1850,1890
634,Nexus Stampede (ATL13),1840,1910
635,Atlantic Hitler - Brown Shirts - SS (9008),1925,1945
637,Zvezda French Dragoons (8024),1804,1812
638,Matchbox German Infantry (40190),1942,1945
639,Matchbox US Infantry (40191),1942,1945
640,Matchbox German Pioneers (40192),1939,1945
641,Matchbox British Paratroopers (40193),1940,1945
642,Revell Conquistadors (02568),1490,1580
643,Revell Aztecs (02569),1450,1525
644,HaT British Marines and Sailors (8098),1799,1808
645,HaT 1806 Prussian Musketeers (8083),1797,1808
646,HaT 1806 Prussian Fusiliers (8084),1801,1807
647,Almark British Infantry (WD1),1939,1945
648,Almark British Infantry Weapons (WD2),1939,1945
649,Waterloo 1815 X Mas (010),1943,1945
650,LW Russo-Balt 1914 (52),1912,1918
651,Evolution Russo-Balt 1914 (EVC002),1912,1918
652,Odemars Oscan Infantry (PF10),-350,150
653,Evolution Polish Infantry 1809-14 (EVF001),1809,1814
654,Evolution Macedonian Cavalry (EVF002),-350,-300
655,Evolution Napoleonic French Military Band (EVF024),1800,1815
656,Evolution Napoleonic Polish Infantry (EVF027),1807,1814
657,Evolution Carthaginian Mercenaries (EVF029),-450,-50
658,Evolution Bactrian Cavalry (EVF003),-490,-300
659,Evolution Scythian Cavalry (EVF004),-650,-250
660,Evolution Macedonian Artillery (EVF005),-350,-250
661,Evolution Parthian Cataphracts with M Crassus (EVF006),-250,250
662,Evolution Parthian Cataphracts with Roman Prisoners (EVF007),-250,250
663,Evolution Gastraphet (EVF008),0,0
664,Evolution Ballista (EVF009),0,0
665,Evolution Onager and Crew (EVF010),0,0
666,Evolution Vinea (EVF012),30,200
667,Evolution Inquisition (EVF013),0,0
668,Evolution Medieval Knights (EVF014),1400,1480
669,Evolution Medieval Mortar and Crew (EVF015),1490,1570
670,Evolution Pirates (EVF016),1540,1740
671,Evolution Napoleonic War French Engineers (EVF017),1804,1815
672,Evolution Wellington's Generals (EVF018),1806,1815
673,Evolution Russian M30 Howitzer (EVF019),1938,1950
674,Evolution Russian Anti-tank Gun (EVF020),1932,1945
675,Evolution Russian Artillery Crew (EVF021),1941,1945
676,Evolution Russian Pilots and Ground Crew (EVF022),1939,1945
677,Evolution War Elephant (EVF023),0,0
678,Evolution Celtic Warriors (EVF028),-300,200
679,Evolution World War I German Cavalry (EVF030),1914,1916
680,Evolution Cavalry of Imperial Rome (EVF034),-50,150
681,Hasegawa WWII Pilot Figure Set (35008),1939,1945
682,Italeri US Paratroopers (6063),1941,1945
683,Armourfast WWII German Mortar Team (99006),1941,1945
684,Armourfast WWII German Machine Gun Team (99007),1942,1945
685,Zvezda Samurai Warriors - Cavalry (8025),1501,1699
686,IMEX Stagecoach (517),1827,1890
687,Evolution Russian Tank Crew (EVF031),1941,1945
688,Orion Turkish Janissaries (72010),1601,1699
689,LW Russian Tank Crew (20),1939,1945
690,Evolution German Horse Wagon (EVF025),1000,1950
691,LW German Horse Wagon (15),1000,2024
692,IMEX Conestoga Wagon (518),1740,1870
693,Accurate Waterloo British Artillery (7211),1800,1815
694,LW Carthaginian Mercenaries (47),-450,-50
695,Strelets Russian Line Infantry (025),1846,1862
696,LW Cossack Artillery (2012),1501,1899
697,Strelets British Heavy Dragoons (023),1847,1855
698,Strelets French Light Infantry (024),1845,1855
699,Strelets Russian Terek Cossacks (026),1830,1915
701,LW War Elephant (32),-500,-200
702,First To Fight Polish Infantry Support Weapons (PL1939-027),1939,1939
703,Italeri British Commandos (6064),1940,1945
704,Hasegawa U.S. Infantry Combat Team (31129),1941,1945
705,Zvezda Republican Roman Infantry (8034),-299,-101
706,HaT Napoleonic Swedish Infantry (8091),1810,1813
709,LW Samurai Warriors (2011),1550,1650
710,Revell WWII German Paratroops (02532),1939,1945
711,Ykreol Chiefs of War (YK23),-60,1960
712,Lucky Toys Austrian Uhlans (TL0005),1862,1866
713,Italeri British Light Cavalry (6044),1775,1785
714,Evolution Cossack Artillery (EVF040),1501,1899
715,Lucky Toys Custer - The Last Hunt (TL0003),1870,1880
716,"Lucky Toys Cheyennes, People of the Big Grasslands (TL0004)",1840,1880
717,Italeri NATO Pilots and Ground Crews (1246),1975,1988
718,Lucky Toys Late Empire Romans (TL0002),301,499
719,Italeri Gladiators (6062),-100,250
720,Esci Japanese Imperial Guard (8061),1933,1945
721,Odemars French Revolution (PF09),1789,1795
722,Esci Eighth Army (8019),1939,1945
723,Caesar SAS (H001),1980,2000
725,Caesar German Infantry (H002),1943,1945
726,BUM Pz.KpfW-1a (5002),1935,1940
728,Caesar Japanese Samurai with Ninja (H003),1401,1699
729,Strelets Saxon Garde du Corps (022),1810,1812
730,HaT WWI Russian Infantry Heavy Weapons Set (8080),1912,1918
731,BUM Pilots and Ground Crew (5012),1936,1939
732,Strelets British Highlanders (029),1850,1855
733,HaT WWI Austrian Infantry Heavy Weapons Set (8081),1914,1918
734,Strelets Russian Cossack Infantry and Sailors (027),1820,1870
735,Revell French Hussars (02586),1800,1815
736,Revell French Dragoons (02587),1804,1812
737,BUM Italian CTV (5003),1936,1939
738,Zvezda Russian Cuirassiers (8026),1812,1815
739,Strelets Russian Hussars (019),1812,1816
740,BUM T-26 B (5006),1936,1939
741,Esci German Anti-Tank Gun (8020),1936,1945
742,Preiser Modern US Infantry (72500),1986,1995
743,HaT Imperial Roman Auxiliary Cavalry (8066),35,150
744,HaT Imperial Roman Praetorian Cavalry (8067),-30,250
745,HaT Late Roman Cataphracts (8086),236,500
746,Waterloo 1815 Dervish Infantry (011),1880,1885
747,HaT Gothic Cavalry (8085),200,450
748,LW Imperial Rome Legionary Artillery (7),30,70
749,LW Medieval Russian Warriors (13),1300,1500
750,Evolution Medieval Russian Warriors (EVF033),1300,1500
751,Orion Medieval Siege Engines Part 1 (72015),1400,1480
752,Orion Medieval Siege Engines Part 2 (72016),1000,1450
753,Evolution Roman Legionary Artillery (EVF032),0,0
754,Esci 'Red Devils' British Paratroopers (8034),1940,1945
756,Hasegawa German Infantry Attack Group (31130),1939,1945
757,Preiser German Tank Crew 1939-45 (72515),1939,1945
758,Revell French Horse Guard Artillery (02588),1807,1813
759,Revell Prussian Cuirassiers (02589),1800,1807
760,Hasegawa US Pilot/Ground Crew Set (35007),1980,1988
761,Hasegawa Check Point (31131),1939,1945
763,Esci Red Guards (8017),1936,1945
764,Strelets Crimean Russian Hussars (034),1850,1855
765,Strelets Napoleon's General Staff (013),1804,1815
766,Strelets Scots Greys (030),1842,1874
767,HaT 1808-1812 French Line Infantry (8095),1808,1813
768,Armourfast WWII German BMW with Sidecar (99010),1940,1945
769,HaT Russian Militia (8099),1812,1814
771,Strelets Russian Naval Artillery (032),1840,1870
773,Linear-B Roman Port - 2 (075),-100,400
776,Armourfast WWII German Zundapp Motorcycle (99011),1938,1945
777,Preiser Horse Drawn Light Field Howitzer (16513),1936,1945
778,A Call To Arms British Infantry 1775 (65),1768,1796
780,Preiser Modern US Infantry (16529),1983,1988
781,Strelets Zouaves (033),1830,1914
782,Preiser Soviet Infantry and Partisans 1942/43 (72522),1941,1945
783,Preiser Soviet Infantry and Partisans 1942/43 (16530),1941,1945
784,BUM Republican Army (5001),1935,1939
785,Esci US Soldiers (8016),1942,1946
786,"Preiser German Paratroopers, Pilots and Ground Crew (16503)",1939,1945
787,"Preiser German Paratroopers, Pilots and Ground Crew (72516)",1939,1945
788,Preiser Home Leave (16542),1936,1945
789,Preiser Home Leave (72521),1936,1945
791,Esci Iwo-Jima Marines Landing (8062),1945,1945
792,Revell WWII German Navy (02525),1939,1945
793,"Preiser Pilots, Ground Crew and Passengers 1925 (72510)",1920,1930
794,Waterloo 1815 Anglo-Egyptian Army (013),1880,1886
795,Zvezda French Knights (8036),1401,1499
796,Caesar Ch'in Dynasty Army (H004),-225,-200
797,Caesar German Infantry with Winter Gear (H005),1941,1945
798,Caesar WWII Underground Resisters (Partisans) (H006),1939,1945
801,Preiser WWII German Infantry Advancing (72504),1939,1945
802,Preiser WWII German Infantry Advancing (16519),1936,1945
803,Odemars Wellington's Staff (PF14),1808,1815
804,Odemars Portuguese Infantry (CF02),1810,1813
805,IMEX Pilgrims (521),1607,1680
806,IMEX Korean War US Army (529),1950,1955
807,IMEX Chinese People's Liberation Army (531),1949,1952
808,IMEX Republic of Korea Troops (530),1946,1955
809,Dark Dream Studio Landsknechts (Pikemen) (72004),1501,1525
810,IMEX North Korean KPA (532),1947,1955
811,Italeri Russian Infantry (6073),1812,1815
813,Strelets British Lancers (036),1817,1870
814,Strelets British Light Dragoons (040),1840,1870
815,Pegasus California Mission Indians (7051),1769,1833
816,Strelets Guard of Peter I (031),1695,1720
817,HaT WWI German Artillery (8109),1916,1918
818,Italeri French Grenadiers (6072),1804,1815
819,Pegasus Waffen SS - Set 2 (7202),1942,1945
820,A Call To Arms Netherlands Infantry 1815 (66),1815,1815
821,HaT Late Roman Heavy Infantry (8087),350,490
822,Pegasus Germans in Berlin 1945 (7228),1944,1945
823,HaT Renault FT-17 with 37mm Cannon (8113),1917,1949
824,HaT Renault FT-17 with Hotchkiss Machine Gun (8114),1917,1949
825,Strelets Reitars of Charles XII (035),1690,1702
826,Strelets Russian Grenadiers (039),1846,1862
827,HaT WWII Polish Infantry (8115),1935,1939
828,Odemars Spanish Infantry (CF01),1812,1813
829,HaT WWI Ottoman Artillery and Machine Guns (8094),1914,1918
830,Pegasus German Mortar Teams (7204),1936,1943
831,HaT WWI German Heavy Weapons Set (8110),1916,1918
832,HaT Imperial Roman Extra Heavy Legionaries (8064),80,180
833,Preiser Resting Infantry and Provost Corps Officers (16501),1936,1945
834,Preiser Resting Infantry (72505),1936,1945
835,Zvezda French Imperial Old Guard (8030),1804,1815
836,Italeri Indian Warriors (6061),1700,1800
837,Italeri American Infantry (6060),1775,1783
839,Esci Afrika Korps (8018),1941,1943
840,Odemars Carpentum (PF08),0,0
841,Fujimi British Infantry (76029),1939,1943
842,Caesar Assyrian Army (H007),-710,-612
843,Caesar Egyptian Army (H009),-1550,-1000
845,Emhar Saxon Warriors (7206),801,999
846,IMEX Saxons (7215),801,999
847,LW Portugal Artillery (2004),1810,1814
849,Preiser German Soldiers Walking and Standing (16543),1980,2000
850,Hasegawa Kubelwagen / BMW Side Car (31112),1939,1945
851,Preiser Rural Groups. Wagons (16327),1800,1960
852,Fujimi German Infantry with Gasmasks (76028),1939,1945
853,Esci Accessories (8060),1930,1980
854,Esci Nebelwerfer 41 (8033),1941,1945
855,Orion Roman Siege Troops (72008),25,199
856,LW Swiss Mercenaries (8),1470,1490
857,Preiser German Motorised Infantry (72503),1936,1945
858,Preiser German Motorised Infantry (16520),1936,1945
859,Evolution Roman Artillery (EVF041),0,0
860,Evolution Russian Medieval Knights (EVF055),1300,1500
861,Caesar Saladin with Saracen Cavalry (H018),1050,1250
862,Caesar Medieval Knights (Crusaders) (H017),1165,1230
863,Fujimi Diorama Accessories (76073),1800,2000
864,Preiser German Infantry Dismounting (16528),1935,1945
865,Preiser German Infantry Dismounting (72501),1936,1945
866,MiniArt Burgundian Mounted Knights (72006),1401,1499
867,MiniArt French Mounted Knights (72007),1401,1499
868,Strelets Allied Chiefs of Staff (2) (011),1790,1815
869,Strelets US Cavalry (1) (041),1865,1890
870,Strelets Artillery of Peter I (042),1700,1725
871,Strelets Artillery of Charles XII (043),1701,1714
872,Strelets Roman Auxiliaries Ranks (M124),50,150
873,Strelets French Foreign Legion Artillery (290),1925,1938
874,Linear-A Imperial Guardsmen of Emperor Justinian I (040),527,565
875,Linear-A The Nika Revolt (041),500,600
876,Emhar Russian Artillery (7208),1854,1855
877,Emhar American Infantry (7209),1917,1918
878,Emhar Charge of the Light Brigade (7207),1850,1857
879,Atlantic Seamen (108),1960,1975
880,Strelets Medieval Britain (071),1200,1450
881,Strelets Lieb-Drabants of Charles XII (044),1700,1720
882,Zvezda Saxon Cuirassiers (8035),1810,1814
883,Waterloo 1815 Italian Carabiniers (005),1840,1849
884,Waterloo 1815 Italian Bersaglieri (015),1850,1875
885,Fujimi Japanese Infantry (76030),1935,1945
886,Italeri Prussian Infantry (6067),1810,1815
887,Italeri French Infantry (6066),1812,1815
888,Zvezda Samurai Army Headquarters (8029),1501,1699
889,Lucky Toys Roman Commander's Cavalry (TL0007),80,150
890,HaT WWII German Motorcycle with Sidecar (8126),1940,1945
891,HaT WWII German Motorcycles (8127),1939,1945
892,Fujimi Flight Deck Crew and Carrier Tractor (35001),1980,1988
893,Fujimi Flight Deck Crew and Fire Engine (35002),1980,1988
894,Lucky Toys King Porus' Army (TL0008),-340,-300
896,Odemars Bosnian Infantry (PF11),1941,1945
897,Strelets Confederate General Staff (047),1861,1865
899,Strelets Napoleon's General Staff (2) (048),1798,1815
900,Italeri Russian Infantry (Winter Uniform) (6069),1938,1945
901,Strelets British Line Infantry (028),1844,1855
902,Italeri German Elite Troops (6068),1940,1945
904,Caesar Biblical Era Libyan Warriors (H022),-2024,-500
905,HaT Assyrian Infantry (8092),-699,-609
906,Orion Parthian Heavy Cavalry (72021),-250,230
907,Strelets Union General Staff (1) (046),1861,1865
908,MiniArt Italian Knights (72008),1401,1499
909,Caesar Hittite Warriors (H008),-1630,-1200
910,Coates & Shine WWI Serbian Infantry (8122),1914,1915
911,Coates & Shine WWI German Colonial Infantry (8123),1914,1918
912,HaT Assyrian Allied Infantry (8121),-699,-609
913,Mars German Don Cossacks (72113),1941,1945
914,Hegemony Long Range Desert Group (HG001),1940,1945
915,Revell German Mechanized Infantrymen (02584),1941,1945
916,Zvezda Republican Roman Cavalry (8038),-299,-1
917,Caesar Trojan Army (H019),-1300,-1150
918,Caesar Mycenaean Army (H020),-1400,-1100
919,HaT WWII Romanian Infantry (8118),1939,1945
920,Preiser US Army Air Force Personnel (16521),1941,1945
921,Preiser US Army Air Force Personnel (72502),1942,1945
922,"Preiser German Kit, 1939-45 (18357)",1939,1945
923,HaT WWI US Infantry (8112),1917,1919
924,Hasegawa Field Camp Equipment (31132),1939,1945
925,Esci British 25 Pdr Gun (8045),1939,1943
926,Italeri German Afrikakorps (6076),1941,1943
927,Italeri British 8th Army (6077),1940,1945
928,Fujimi US Army Infantry (76027),1941,1945
930,Preiser Modern US Infantry in Action (16533),1990,2010
931,Preiser Modern US Infantry in Action (72519),1990,2000
932,Preiser Soviet Infantrymen on a Tank (72525),1941,1945
933,Preiser Soviet Infantrymen on a Tank (16545),1941,1945
934,Preiser Soviet Infantrymen on a Tank (16532),1941,1945
935,Preiser Soviet Infantrymen on a Tank (72523),1941,1945
936,Pegasus U.S.M.C. in Vietnam (7401),1962,1967
937,Pegasus US Rangers D-Day (7351),1944,1944
938,Preiser Luftwaffe Pilots and Ground Crew (72508),1936,1945
939,Preiser Luftwaffe Pilots and Ground Crew (16502),1939,1945
940,Hegemony Northern Wei (HG002),386,534
941,Strelets Pickett's Charge 1 (148),1861,1865
942,Waterloo 1815 Austrian Infantry 1859 (017),1850,1862
943,Caesar Assyrian Cavalry (H010),-710,-612
944,Waterloo 1815 Austrian Artillery 1859 (018),1859,1859
945,Preiser WWII German Air and Ground Crew (72509),1936,1945
949,Caesar Assyrian Chariot (H011),-699,-601
950,Fujimi German Infantry (76025),1939,1945
951,Strelets Boers (056),1880,1902
952,Preiser Modern German/NATO Pilots and Ground Crew (72520),1980,2010
953,Strelets British Lancers (055),1898,1902
955,Strelets Australian Lancers (054),1895,1905
956,Strelets Bengal Lancers (057),1875,1910
957,Strelets Mounted Boers (037),1880,1905
958,Italeri American Special Forces (6078),1962,1973
959,Italeri Vietnamese Army / Vietcong (6079),1950,1975
961,Strelets British Infantry (038),1888,1901
962,Fujimi Bridge and Checkpoint (36039),1933,1945
963,Fujimi Field Accessories (36038),1936,1945
965,Zvezda French Foot Artillery (8028),1807,1813
967,Preiser German Tank Crew (16500),1935,1945
968,Preiser German Tank Crew (72507),1936,1945
969,Odemars Iberian Infantry (PF13),-300,-150
971,Pobeda BTR 152V-K and Soviet Army Figures (72001),1950,2020
972,Pobeda BTR 152 S Command and Soviet Army Figures (72002),1950,2020
973,Pobeda ZIL-157 Truck and Soviet Army Figures (72003),1958,2000
974,Pobeda BM-24-12 Rocket and Soviet Army Figures (72004),1947,1960
975,Pobeda ZIL-157 Fuel Truck and Soviet Army Figures (72005),1958,1994
976,Pobeda BM 13-16 Katyuska and Soviet Army Figures (72006),1941,1960
977,Pobeda BM-13-16 ZIL-131 Soviet-Egyptian Army (72008),1964,2010
978,Pobeda Ural 375D Truck Egyptian-Soviet Army (72009),1961,1995
979,Pobeda Ural 375 A Command Egyptian-Soviet Army (72010),1961,1995
980,Fujimi Kubel Wagen (76054),1939,1945
981,Orion Medieval Siege Troops (72019),1350,1500
982,HaT French Limber (8105),1807,1813
983,Coates & Shine Indian Cavalry (8131),-340,-300
984,HaT WWII German Mounted Infantry (8120),1936,1945
985,HaT WWII German Bicyclists (8119),1936,1945
986,Pobeda Russo-Balt Armoured Car (72020),1914,1920
987,Pobeda BMP-1 and Soviet Army Figures (72030),1980,2000
988,Pobeda SU-76 Soviet Tank WW2 (72040),1939,1945
989,Pobeda Volkswagen Lazaret (72041),1944,1945
990,Pobeda German Pak40 and Panther Tanks (72042),1943,1945
991,Pobeda RBT-5 Rocket Launcher (72043),1935,1945
992,Pobeda ZSU-37 Antiaircraft Tank (72044),1943,1960
993,Pobeda Soviet ZIS-3 Gun with Crew (72045),1941,1945
994,Pobeda T-26 Twin Turret with Crew (72046),1931,1935
995,Pobeda SPG BT-42 Finnish 1944 Vyborg Battle (72047),1943,1945
996,Pobeda XT-26 Russian Flamethrower (72048),1930,1945
997,Pobeda Die in Stalingrad (72101),1942,1943
998,Pobeda 1812 Brezina Cross (72100),1812,1813
999,Pobeda Crimean Death Artillery (72102),1854,1855
1000,Pobeda Sudan Death Dervishes (72103),1880,1900
1001,Pobeda Ancient Destroyed Catapult (72104),-300,-300
1002,Pobeda Cossack Artillery (72105),1500,1890
1003,Pobeda Siege of Sagunto (72106),1811,1811
1004,Pobeda Russian Pilots (72107),1939,1945
1005,Metch Ukrainian Medieval Army (172001),1200,1400
1006,Metch Sapeurs and French Camp (172002),1804,1815
1007,Metch Samurai Warlords (172003),1500,1799
1008,Metch Roman Siege Troops (172004),30,70
1009,Metch Roman Vinea (172005),0,0
1010,Metch Roman Ballista (172006),30,180
1011,Hegemony WW2 Civilians (HG003),1930,1950
1012,Metch Swiss Army (172008),1460,1490
1013,Metch TODT Operation (172101),1933,1945
1014,Linear-A The Etruscans Cavalry: Set 2 (022),-899,-401
1015,Metch Volkssturm Posen 1945 (172102),1945,1945
1016,Metch Kettenkrad (172103),1941,1945
1017,Metch Repair Truck (172104),1935,1945
1018,Metch SD KFZ 138/1 Grille (172106),1942,1945
1019,Metch SS Handchar Division (172108),1940,1945
1020,HaT Assyrian Cavalry (8125),-699,-609
1021,HaT French Ammunition Caisson (8101),1806,1813
1022,Orion German Paratroopers (72018),1939,1945
1023,Zvezda Russian Strelets Infantry (8040),1550,1699
1024,Strelets German Dragoons (045),1916,1918
1025,Strelets Russian Dragoons (058),1882,1918
1026,Strelets Don Cossacks (059),1910,1918
1027,Strelets German Hussars (060),1910,1916
1028,Strelets German Uhlans (072),1908,1915
1029,Strelets Kuban\Terek Cossacks (073),1900,1922
1030,RedBox Picts (72001),250,850
1031,IMEX The Charge of the Light Brigade (7216),1850,1856
1032,IMEX Russian Artillery (7217),1850,1860
1033,IMEX American WWI Infantry (7218),1917,1918
1034,LW Roman Assault Troops (9),30,200
1035,Evolution Roman Assault Troops Testudo (EVF035),30,200
1036,MiniArt Swiss Infantry (72009),1450,1490
1037,IMEX American Artillery (554),1776,1783
1038,IMEX British Artillery (555),1750,1790
1039,Evolution Dacian Cavalry (EVF036),50,150
1040,Zvezda Carthaginian Infantry (8010),-300,-146
1041,Evolution Sarmat Cavalry (EVF037),-100,200
1042,IMEX Mexican Round Hat Infantry (553),1820,1850
1043,Caesar Modern US Army (H030),2001,2006
1044,Caesar Modern Urban Resisters (H031),1970,2020
1045,BUM Militian Army (5004),1936,1939
1046,Caesar Arab Camel Riders and Bedouin (H023),-2024,300
1047,Evolution Bosporan Cavalry (EVF038),-450,400
1048,Caesar Hittite Chariots (H012),-1630,-1200
1049,Caesar Mitannian Mariyannu Chariot (H015),-1680,-1360
1050,Atlantic Navy (109),1970,1975
1051,RedBox Vinea and Ram (72002),-200,500
1052,Preiser German Panzergrenadiers Advancing (16557),1936,1945
1053,Preiser German Panzergrenadiers Advancing (72527),1939,1945
1054,Strelets Auxiliaries on the March (M125),100,100
1055,RedBox Colonial British Army 1890 (72003),1885,1895
1056,RedBox Afghan Warriors (72004),1860,1900
1058,Preiser German Paratroopers (16508),1972,1995
1059,Revell German Africa Corps (02505(2)),1940,1943
1060,Revell British 8th Army (02507(2)),1940,1945
1061,Italeri British 95th Regiment (6083),1802,1815
1062,Italeri Mamelukes (6082),1799,1815
1065,Preiser Soviet Guards Infantry 1942 (16505),1941,1945
1066,Preiser German Armoured Infantry (16504),1939,1945
1067,Evolution Scorpion and Crew (EVF011),0,0
1068,Strelets British Hussars (050),1840,1857
1069,MiniArt German Knights (72011),1401,1470
1070,Strelets German Cuirassiers (077),1914,1916
1071,Strelets Scottish Army of Robert Bruce (081),1300,1330
1073,RedBox Japanese Warrior Monks (72005),900,1595
1074,Strelets Union General Staff (2) (080),1861,1865
1075,RedBox Ashigaru (Archers and Arquebusiers) (72006),1500,1650
1076,Strelets Russian Hussars (076),1914,1921
1077,Strelets Russian Army of Alexander Nevsky (082),1200,1300
1078,HaT Spanish Guerillas (8116),1808,1814
1081,HaT French Heavy Ambulance (8104),1807,1815
1082,Italeri French Cuirassiers (6084),1800,1815
1083,Zvezda Medieval Field Powder Artillery (8027),1310,1500
1084,Zvezda Swedish Infantry (8048),1706,1721
1085,HaT French Baggage Wagon (8106),1800,1815
1086,HaT Assyrian Chariots (8124),-670,-609
1087,Metch Macedonian Artillery (172009),-350,-250
1088,Metch WWI Kaiser Army Tannenberg (172109),1914,1916
1089,Pobeda Warsaw Resistance (72110),1942,1945
1090,Strelets British Infantry on the March (141),1812,1816
1091,BUM FT-17 Tank Cannon (5034),1936,1939
1092,BUM FT-17 Tank Machinegun (5036),1936,1939
1093,Preiser US Tank Crew 2000 (72524),1990,2005
1094,Italeri Prussian Light Cavalry (6081),1808,1815
1095,Caesar Inca Warriors (H026),1300,1570
1096,Caesar Hebrew Warriors (H014),-1275,-586
1097,Odemars French Grenadiers (CF03),1804,1815
1098,Caesar Ancient Egyptian Warriors (H047),-1550,-1000
1099,Evolution Roxolan Cavalry (EVF039),-100,300
1100,Caesar Egyptian Sherden the Royal Guards (H050),-1350,-950
1101,Italeri French Light Cavalry (6080),1805,1810
1102,Caesar The Sea Peoples (H048),-1275,-1170
1103,Strelets Normans (M001),1000,1200
1104,Orion Ukrainian Foot Cossacks and Artillery (72013),1550,1750
1105,RedBox Ashigaru (Spearmen) (72007),1500,1650
1106,Caesar Maya Warriors (H027),250,1550
1107,Strelets Norman Archers (M002),1000,1150
1108,Orion Assyrian Rams (72022),-750,-700
1109,Odemars The Nativity (CREA02),-50,50
1110,Strelets Anglo-Saxons (M003),1000,1066
1111,Zvezda French Elite Infantry. Voltigeurs (8042),1805,1813
1112,Mars Pirates of the Caribbean (72009),1660,1750
1113,Strelets Vikings (M004),750,1100
1114,Caesar Philistine Warriors (H046),-1230,-750
1115,Zvezda Medieval Heavy Bombard (8032),1390,1490
1116,Strelets Don Cossacks (052),1840,1857
1117,Emhar French Infantry 1854-1871 (7211),1852,1914
1119,Strelets Russian General Staff and Hospital (051),1850,1860
1120,Emhar Zouaves (7212),1830,1914
1122,Waterloo 1815 Italian Infantry (019),1916,1918
1124,Strelets Don Cossacks in Summer Dress (083),1890,1920
1127,Revell Vietcong (02526),1946,1975
1130,HaT WWI Canadian Infantry (8111),1916,1918
1131,Italeri Walls and Ruins (6087),1200,2024
1132,IMEX German Troops (528),1936,1945
1133,HaT Parthian Heavy Cavalry (8145),-250,250
1134,HaT Parthian Light Cavalry (8144),-249,225
1135,HaT 1806 Prussian Elites (8136),1798,1807
1136,HaT 1806 Prussian Grenadiers (8135),1799,1807
1138,Pegasus German Army Infantry 1939 (7499),1938,1941
1139,IMEX Easy Company American (527),1943,1945
1140,Valiant Classic German Infantry 1944/45 (VM002),1944,1945
1141,Valiant British Tommies 1944/45 (VM001),1944,1945
1143,HaT Württemberg Infantry (8093),1811,1814
1144,Italeri Iwo Jima Flag Raisers (6098),1945,1945
1145,Revell American Special Forces (02527),1960,1973
1146,Zvezda Carthaginian Numidian Cavalry (8031),-300,100
1147,Strelets Russian Crimean Uhlans (061),1854,1856
1148,Strelets Russian Crimean Dragoons (063),1846,1864
1149,Strelets Roman Legion on the March (M007),25,150
1150,Strelets Roman Legion in Battle (M009),20,140
1151,Zvezda Russian Infantry of Peter the Great (8049),1698,1725
1152,Strelets Medieval Levy (1) (M005),1100,1400
1153,Caesar The Conquistadores (H025),1490,1560
1155,Strelets Roman Auxiliaries in Battle (M008),40,180
1156,Odemars Jesus' Home (with Jesus) (CREA03),20,50
1157,Zvezda The Janissaries (8050),1501,1799
1158,MiniArt Roman Infantry (72012),301,499
1159,GerMan Musketeers of the French King (0001),1622,1650
1160,Co.Ma. Bersaglieri (409),1915,1915
1161,Dapol Railway Workmen (C002),1840,1950
1162,Dapol Platform Figures (C008),1950,1970
1163,Coates & Shine Macedonian Elephant (8141),-330,-250
1164,HaT Nassau Infantry (8147),1808,1833
1165,HaT Late Roman Missile Troops (8137),300,450
1166,Zvezda English Knights of the 100 Years War (8044),1325,1375
1167,HaT 1805 French Line Infantry in Greatcoats (8146),1800,1806
1168,Zvezda Roman Imperial Legionaries (8043),30,180
1169,Strelets Russian Grenadiers in Winter Dress (M011),1812,1815
1170,GerMan Cuban War Spanish Infantry (0003),1890,1898
1171,HaT Gallic Warband (8089),-300,200
1173,Italeri French Infantry 1798-1805 (6092),1798,1805
1174,Strelets French Cuirassiers in Winter Dress (089),1812,1815
1175,Odemars Defenders of Berlin (PF07),1944,1945
1176,Odemars The Last Defenders of Berlin (PF17),1944,1945
1177,Strelets Russian Hussars in Winter Dress (087),1812,1815
1178,MiniArt Hussites (72010),1401,1499
1179,RedBox Japanese Peasant Infantry (72010),1540,1650
1180,Strelets Borodino (084),1812,1812
1181,Caesar Nubian Warriors (H049),-2024,-500
1182,Strelets French Guard Chasseurs in Winter Dress (M010),1804,1815
1183,Coates & Shine Indian Elephant (8142),-340,-300
1184,BUM Spanish Security Forces (5010),1935,1939
1185,Strelets Norman Knights (085),950,1150
1186,Strelets Breton Knights (086),1000,1150
1187,Caesar Ancient Egyptian Chariots (H024),-1400,-1000
1188,Italeri British Infantry 1815 (6095),1812,1816
1189,Strelets Medieval Levy (2) (M006),1100,1400
1190,Caesar Roman Legionary (H041),10,120
1191,RedBox Ashigaru (Command and Support Group) (72008),1500,1650
